simulator	traffic_pattern	injection_rate	accepted_load	dropped
tickysim	cyclic	0.01	0.0101333333	0
tickysim	cyclic	0.02	0.02	0
tickysim	cyclic	0.0300187617	0.0301333333	0
tickysim	cyclic	0.04	0.04	0
tickysim	cyclic	0.05	0.0501333333	0
tickysim	cyclic	0.0599250936	0.06	0
tickysim	cyclic	0.0698689956	0.0698666667	0
tickysim	cyclic	0.08	0.08	0
tickysim	cyclic	0.0898876404	0.0898	0
tickysim	cyclic	0.1	0.1	0
tickysim	cyclic	0.1103448276	0.1104	0
tickysim	cyclic	0.1203007519	0.1205333333	0
tickysim	cyclic	0.1300813008	0.1301333333	0
tickysim	cyclic	0.1403508772	0.1407777778	0
tickysim	cyclic	0.1495327103	0.1496	0
tickysim	cyclic	0.16	0.1599777778	0
tickysim	cyclic	0.170212766	0.1698666667	0
tickysim	cyclic	0.1797752809	0.1799351852	0
tickysim	cyclic	0.1904761905	0.1904	0
tickysim	cyclic	0.2	0.1999944444	0
tickysim	cyclic	0.2105263158	0.2102222222	0
tickysim	cyclic	0.2191780822	0.2189333333	0
tickysim	cyclic	0.2285714286	0.2282666667	0
tickysim	cyclic	0.2388059701	0.2389203704	0
tickysim	cyclic	0.25	0.2504185185	0
tickysim	cyclic	0.2580645161	0.2580777778	0
tickysim	cyclic	0.2711864407	0.2707018519	0
tickysim	cyclic	0.2807017544	0.2806	0
tickysim	cyclic	0.2909090909	0.2919444444	0
tickysim	cyclic	0.3018867925	0.2998185185	0.0071652925
tickysim	cyclic	0.3076923077	0.307562963	0.0013479765
tickysim	cyclic	0.32	0.3183203704	0.0073611111
tickysim	cyclic	0.3333333333	0.3322537037	0.0004611111
tickysim	cyclic	0.3404255319	0.3370555556	0.0083220922
tickysim	cyclic	0.347826087	0.3472111111	0.0006708444
tickysim	cyclic	0.3636363636	0.3630925926	0.0004074108
tickysim	cyclic	0.3720930233	0.3714074074	0.0011247418
tickysim	cyclic	0.380952381	0.3806796296	0.0007778015
tickysim	cyclic	0.3902439024	0.390387037	0
tickysim	cyclic	0.4	0.4000074074	0
tickysim	cyclic	0.4102564103	0.410287037	0
tickysim	cyclic	0.4210526316	0.2466592593	0.3651420198
tickysim	cyclic	0.4324324324	0.2284981481	0.4057557213
tickysim	cyclic	0.4444444444	0.2186981481	0.4275698556
tickysim	cyclic	0.4571428571	0.2097833333	0.4447994981
tickysim	cyclic	0.4705882353	0.209487037	0.447094254
tickysim	cyclic	0.4848484848	0.2067	0.4528703082
tickysim	cyclic	0.5	0.2039314815	0.4588279844
tickysim	cyclic	0.5161290323	0.2049703704	0.4577375504
tickysim	cyclic	0.5333333333	0.2014666667	0.4638267902
tickysim	cyclic	0.5517241379	0.200712963	0.4655439545
tickysim	cyclic	0.5714285714	0.2006055556	0.4654777422
tickysim	cyclic	0.5925925926	0.1995944444	0.467437566
tickysim	cyclic	0.6153846154	0.1979462963	0.4719601211
tickysim	cyclic	0.64	0.201212963	0.4662001798
tickysim	cyclic	0.6666666667	0.1964351852	0.4740212711
tickysim	cyclic	0.6956521739	0.1960722222	0.4737665511
tickysim	cyclic	0.7272727273	0.1957425926	0.4752152873
tickysim	cyclic	0.7619047619	0.1954092593	0.4762271271
tickysim	cyclic	0.8	0.1963333333	0.4745896355
tickysim	cyclic	0.8421052632	0.1974648148	0.471236218
tickysim	cyclic	0.8888888889	0.1944833333	0.4770519863
tickysim	cyclic	0.9411764706	0.1955888889	0.4760722023
tickysim	cyclic	1	0.1946814815	0.477788153
				
insee	cyclic	0.1	0.10001	0.000006
insee	cyclic	0.15	0.15	0.000033
insee	cyclic	0.2	0.19997	0.000108
insee	cyclic	0.25	0.24991	0.000303
insee	cyclic	0.3	0.29977	0.000745
insee	cyclic	0.35	0.34934	0.001758
insee	cyclic	0.375	0.37383	0.003049
insee	cyclic	0.4	0.37484	0.062675
insee	cyclic	0.425	0.20706	0.502378
insee	cyclic	0.45	0.19037	0.546301
insee	cyclic	0.5	0.1854	0.557902
insee	cyclic	0.55	0.18513	0.558557
insee	cyclic	0.6	0.18498	0.558815
insee	cyclic	0.7	0.18499	0.558816
insee	cyclic	0.9	0.18484	0.559009
				
fpga	cyclic	1	0.1957092593	0.4772825316
fpga	cyclic	0.8888888889	0.1953685185	0.4779572565
fpga	cyclic	0.8	0.1962037037	0.4746219286
fpga	cyclic	0.6956521739	0.1971444444	0.471447924
fpga	cyclic	0.5925925926	0.199687037	0.4690475721
fpga	cyclic	0.5	0.2054962963	0.4556284903
fpga	cyclic	0.4848484848	0.207637037	0.4504020923
fpga	cyclic	0.4571428571	0.2151611111	0.4332167222
fpga	cyclic	0.4444444444	0.22305	0.4209800594
fpga	cyclic	0.4324324324	0.2325851852	0.3971117574
fpga	cyclic	0.4	0.4001240741	0
fpga	cyclic	0.3720930233	0.3721333333	0
fpga	cyclic	0.3404255319	0.3404462963	0.0001903809
fpga	cyclic	0.32	0.3199407407	0
fpga	cyclic	0.302	0.3018666667	0.000042939
